adjustment,base_position,date,equity_before,price,regime,target_position,type
0,0.25,2025-02-17,,,range,0.25,signal
,,2025-02-18,13395222.94,39187.9883,,0.25,execute
-1,0.25,2025-02-18,,,range,0.00,signal
,,2025-02-19,13398840.08,39230.6211,,0.00,execute
0,0.25,2025-02-20,,,range,0.25,signal
,,2025-02-21,13398840.08,38523.0703,,0.25,execute
-1,0.24,2025-02-26,,,range,0.00,signal
,,2025-02-27,13375585.48,38251.1094,,0.00,execute
1,0.24,2025-02-28,,,range,0.49,signal
,,2025-03-03,13375585.48,37617.5000,,0.49,execute
0,0.24,2025-03-05,,,range,0.24,signal
,,2025-03-06,13382089.85,37654.9492,,0.24,execute
-1,0.24,2025-03-07,,,range,0.00,signal
,,2025-03-10,13323949.06,36972.5898,,0.00,execute
1,0.24,2025-03-10,,,range,0.49,signal
,,2025-03-11,13323949.06,36584.3711,,0.49,execute
0,0.24,2025-03-17,,,range,0.24,signal
,,2025-03-18,13552117.77,37868.5703,,0.24,execute
-1,0.24,2025-03-21,,,range,0.00,signal
,,2025-03-24,13549811.53,37841.6797,,0.00,execute
0,0.23,2025-03-31,,,bear,0.23,signal
,,2025-04-01,13549811.53,35961.1914,,0.23,execute
1,0.19,2025-04-03,,,bear,0.35,signal
,,2025-04-04,13405703.88,34304.6602,,0.35,execute
0,0.20,2025-04-28,,,bear,0.20,signal
,,2025-04-30,13630317.23,35946.8789,,0.20,execute
-1,0.20,2025-05-08,,,bear,0.00,signal
,,2025-05-09,13735118.63,37332.5703,,0.00,execute
0,0.21,2025-05-09,,,bear,0.21,signal
,,2025-05-12,13735118.63,37697.2812,,0.21,execute
0,0.35,2025-05-14,,,bear,0.35,signal
,,2025-05-15,13745296.68,37832.3594,,0.35,execute
-1,0.25,2025-06-25,,,range,0.00,signal
,,2025-06-26,13902759.71,39072.1406,,0.00,execute
0,0.25,2025-06-26,,,range,0.25,signal
,,2025-06-27,13902811.42,39866.3594,,0.25,execute
-1,0.26,2025-06-27,,,range,0.01,signal
,,2025-06-30,13963261.95,40550.7891,,0.01,execute
0,0.26,2025-06-30,,,range,0.26,signal
,,2025-07-01,13962830.67,40340.6406,,0.26,execute
-1,0.30,2025-07-03,,,range,0.05,signal
,,2025-07-04,13931986.47,39994.6406,,0.05,execute
0,0.75,2025-07-04,,,range,0.75,signal
,,2025-07-07,13927293.83,39729.5586,,0.75,execute
1,0.75,2025-07-17,,,bull,1.00,signal
,,2025-07-18,14017325.45,40072.3906,,1.00,execute
0,0.75,2025-07-22,,,bull,0.75,signal
,,2025-07-23,14058160.34,40189.1797,,0.75,execute
1,0.76,2025-07-24,,,bull,1.00,signal
,,2025-07-25,14469847.92,41760.5781,,1.00,execute
-1,0.76,2025-07-25,,,bull,0.51,signal
,,2025-07-28,14385071.60,41515.9102,,0.51,execute
0,0.75,2025-07-28,,,bull,0.75,signal
,,2025-07-29,14253729.17,40767.7695,,0.75,execute
1,0.75,2025-07-29,,,bull,1.00,signal
,,2025-07-30,14247598.01,40744.5312,,1.00,execute
0,0.75,2025-07-30,,,bull,0.75,signal
,,2025-07-31,14229578.50,40693.0000,,0.75,execute
0,0.60,2025-07-31,,,bull,0.60,signal
,,2025-08-01,14318278.50,41029.8398,,0.60,execute
-1,0.61,2025-08-14,,,bull,0.36,signal
,,2025-08-15,14705800.12,42866.3789,,0.36,execute
0,0.62,2025-08-15,,,bull,0.62,signal
,,2025-08-18,14778967.92,43452.8984,,0.62,execute
0,1.00,2025-08-20,,,bull,1.00,signal
,,2025-08-21,14638297.03,42783.2617,,1.00,execute
-1,1.00,2025-09-01,,,bull,0.75,signal
,,2025-09-02,14472822.01,42299.6289,,0.75,execute
0,1.00,2025-09-02,,,bull,1.00,signal
,,2025-09-03,14417914.94,42085.6602,,1.00,execute
-1,1.00,2025-09-03,,,bull,0.75,signal
,,2025-09-04,14420669.00,42093.6992,,0.75,execute
0,1.00,2025-09-05,,,bull,1.00,signal
,,2025-09-08,14769430.21,43451.0703,,1.00,execute
-1,1.00,2025-09-16,,,bull,0.75,signal
,,2025-09-17,15211574.09,44751.8398,,0.75,execute
0,1.00,2025-09-30,,,bull,1.00,signal
,,2025-10-01,15231996.54,44831.9492,,1.00,execute
-1,1.00,2025-10-01,,,bull,0.75,signal
,,2025-10-02,15199407.68,44736.0312,,0.75,execute
0,1.00,2025-10-03,,,bull,1.00,signal
,,2025-10-06,15683572.25,46636.0703,,1.00,execute
-1,1.00,2025-10-06,,,bull,0.75,signal
,,2025-10-07,16236797.95,48281.1211,,0.75,execute
0,1.00,2025-10-08,,,bull,1.00,signal
,,2025-10-09,16174827.02,48035.4219,,1.00,execute
-1,1.00,2025-10-16,,,bull,0.75,signal
,,2025-10-17,16102614.84,47820.9688,,0.75,execute
0,1.00,2025-10-17,,,bull,1.00,signal
,,2025-10-20,16231852.93,48332.7109,,1.00,execute
-1,1.00,2025-10-20,,,bull,0.75,signal
,,2025-10-21,16682785.91,49675.4297,,0.75,execute
0,1.00,2025-10-21,,,bull,1.00,signal
,,2025-10-22,16576141.65,49252.0312,,1.00,execute
-1,1.00,2025-10-23,,,bull,0.75,signal
,,2025-10-24,16523382.32,49095.2695,,0.75,execute
0,1.00,2025-10-24,,,bull,1.00,signal
,,2025-10-27,16727975.11,49905.8008,,1.00,execute
-1,1.00,2025-10-31,,,bull,0.75,signal
,,2025-11-04,17528581.42,52294.3086,,0.75,execute
0,1.00,2025-11-04,,,bull,1.00,signal
,,2025-11-05,17276454.62,51291.3906,,1.00,execute
0,0.80,2025-11-07,,,bull,0.80,signal
,,2025-11-10,17058821.96,50645.2695,,0.80,execute
-1,0.80,2025-12-11,,,bull,0.55,signal
,,2025-12-12,17014393.74,50480.2305,,0.55,execute
0,0.80,2025-12-12,,,bull,0.80,signal
,,2025-12-15,16990690.96,50352.0898,,0.80,execute
-1,0.80,2025-12-30,,,bull,0.55,signal
,,2026-01-05,17168588.36,51010.2812,,0.55,execute
1,0.80,2026-01-05,,,bull,1.00,signal
,,2026-01-06,17380676.09,52157.2188,,1.00,execute
-1,0.81,2026-01-06,,,bull,0.56,signal
,,2026-01-07,17376484.61,52144.6406,,0.56,execute
1,0.80,2026-01-08,,,bull,1.00,signal
,,2026-01-09,17232554.20,51367.9805,,1.00,execute
-1,0.81,2026-01-13,,,bull,0.56,signal
,,2026-01-14,18057568.01,53827.2383,,0.56,execute
-1,0.65,2026-01-15,,,bull,0.40,signal
,,2026-01-16,18103344.74,54071.2812,,0.40,execute
0,0.60,2026-01-22,,,bull,0.60,signal
,,2026-01-23,18080284.94,53898.4492,,0.60,execute
-1,0.60,2026-01-23,,,bull,0.35,signal
,,2026-01-26,17903663.80,53023.2812,,0.35,execute
0,0.60,2026-01-26,,,bull,0.60,signal
,,2026-01-27,17882756.71,52847.5391,,0.60,execute
-1,0.60,2026-01-27,,,bull,0.35,signal
,,2026-01-28,17918439.71,53023.8789,,0.35,execute
0,0.60,2026-01-28,,,bull,0.60,signal
,,2026-01-29,17951250.07,53301.2617,,0.60,execute
-1,0.60,2026-02-05,,,bull,0.35,signal
,,2026-02-06,17978356.34,53435.3711,,0.35,execute
0,0.60,2026-02-06,,,bull,0.60,signal
,,2026-02-09,18179238.48,55130.6289,,0.60,execute
0,0.35,2026-03-10,,,bull,0.35,signal
,,2026-03-11,18136866.75,54917.9297,,0.35,execute
